Name,Site,Tour Order,Category,Site Description,History and Importance to Project and Community,Media (Site Image),Media (Other Image),Media (Video),Media (Audio),Media (Other),Archive Link,"Address (Number, Street, Town, State, Zip)",Coordinates,Contributor,X,Y
Agudas Achim Congregation,Agudas Achim Congregation,,Synagogue,Agudas Achim is a Reform and Conservative congregation now located in Coralville. The original synagogue was located on Washington Street in Iowa City.,"Agudas Achim is an important site to the Jewish Community, and many members, extendend family members and Jewish non-members of the church are buried here. The land was purchased for a cemetery in 1859, but was repurchased by Agudas Achim in 1921. They also purchased more land to expand the cemetery in 2006.",media/images/Agudas_Achim_Sisterhood_Site_Image_1.jpeg,,,,,http://aspace.lib.uiowa.edu/repositories/4/resources/2981,"401 E. Oakdale Blvd, Coralville, IA 52241","41.7043027,-91.5869692","Foss, Brynna",-91.5869693,41.7043027
Agudas Achim Sisterhood,Agudas Achim Congregation,,Religious Organization,Agudas Achim is a Reform and Conservative congregation now located in Coralville. The original synagogue was located on Washington Street in Iowa City.,"Iowa City’s Jewish community hired a rabbi in 1915 and in 1916 established the Agudas Achim Congregration. The Agudas Achim Sisterhood was founded in 1932 to be a social and service organization for the women of the congregation. It absorbed the local Jewish Ladies’ Relieft Organization, which had existed in Iowa City since 1916. The group was later affiliated with the Midwest branch of the Women’s League for Conservative Judaism. The members of the Agudas Achim Sisterhood, drawn from the congregation, sponsored social events, organized refreshments for events and holidays, ran the congregation’s gift shop, and supported many other activities that benefitted Agudas Achim as a whole.",media/images/Agudas_Achim_Sisterhood_Other_Image_2.jpg,,https://www.youtube.com/watch?v=Hpmppsxivbc Former rabbi of Agudas Achim Sisterhood Congregation answers their definition of what it means to be jewish.,https://www.youtube.com/watch?v=S0eUpKHbSQ4 A link providing a tour inside the Agudas Achim Sisterhood Congregation as well as some of the individuals involved in the work there. ,"https://agudasachimic.org/about-us/our-history/ : This is a link to the sisterhoods overall website, and this specific link is the in depth history of the creation of the organization. ",https://aspace.lib.uiowa.edu/repositories/4/resources/2962,"401 E. Oakdale Blvd, Coralville, IA 52241","41.7043027,-91.5869692","Longnecker, Alena and Nikolovksa, Matea and Bullard, Brooklyn",-91.5869692,41.7043027
Agudas Achim Synagogue (Original Iowa City Location),Agudas Achim Synagogue (Original Iowa City Location),,Synagogue,This is the original site of the Agudas Achim congregation Synagogue. It has since been moved to a location in Coralville.,"The Jewish community of Iowa City was very grateful to have a synagogue in their community. Before the synagogue was here, there was a lacking of religious organizations, which caused some members to move. The Agudas Achim congregation synagogue became a center for all Jewish activites, and allowed the University of Iowa students to be involved too. It was a major resource for developing the Jewish community in Iowa City.",media/images/Agudas_Achim_Sisterhood_Site_Image_1.jpg,,,,Home - AGUDAS ACHIM אגודת אחים (agudasachimic.org) A link to the present day congregation,Collection: Naomi Braverman Markovitz papers | ArchivesSpace at the University of Iowa (uiowa.edu),"602 E. Washington St, Iowa City, Iowa 52240","41.6601629,-91.52705971",Ellie Behrens and Jerin Ugrin,-91.52705971,41.6601629
Alpha Epsilon Phi,Alpha Epsilon Phi Sorority House,,Student Organization,"Alpha Epslon Phi is a unique and different sorority from others on the University of Iowa's campus. They focus and are dedicated to sisterood, intellectual growth, personal development, and selfless service. they have a long standing of academic excellence, leadership and philanthropy. They feel that they are the most inclusive out of the 14 sororities on campus due to the history and culture they exert. They were founded by 7 Jewish women at Barnard College in 1909. Their goal as a chapter was to foster lifelong friendship, sisterhood, academics, social involvement and community service while providing a home away from home at school for their members. Today, the sorority feels they have continued their legacy as hey strive for excellence in every way possible. They are the smallest sorority on campus which has led to a very tight knit community where everyone knows everyone and they are able to support each member. ",,media/images/Alpha_Epsilon_Phi_Members_1966.jpg,,,,,https://aspace.lib.uiowa.edu/search?q%5b%5d=alpha+epsilon+phi&op%5b%5d=&field%5b%5d=keyword&from_year%5b%5d=&to_year%5b%5d=&filter_fields%5b%5d=repository&filter_values%5b%5d=%2Frepositories%2F3,"122 East Market Street, Iowa City, IA","41.66390735,-91.53342435","Madi, Melina, Matt, Ava",-91.53342434,41.66390735
"Becker, Ruth Salzmann",College of Nursing,,Academic,Ruth Salzmann left her mark here at the University of Iowa. She worked part time as a nurse in the College of Nursing. ,"Ruth Salzman Becker made her way to the University of Iowa after fleeing Germany in 1939. Here, she worked part time at the University of Iowa College of Nursing. During her time at the College of Nursing, she also became heavily involved in community organizations including the Johnson County Association for Retarded Children (now the Association for Retarded Citizens), Goodwill Industries of Southeast Iowa, and Families, Inc, as well as Johnson County Democratic Women's Club. ",media/images/Becker_Ruth_Salzmann_Other_Image_4.jpg,,,,,http://aspace.lib.uiowa.edu/repositories/4/resources/1757,"50 Newton Rd, Iowa City, IA 52242","41.661314,-91.54316","Gidel, Bryce and Marino, Grace",-91.54316,41.661314
"Becker, Ruth Salzmann",The Arc of Southeast Iowa,,Activist,"The Arc of Southeast Iowa was founded in 1957 by a group of parents and professionals interested in the welfare of individuals with disabilities. It offers direct support programs to individuals with disabilities. It has been involved in the legislative process, providing informational classes, and increasing public awareness.",Ruth Salzmann Becker helped to develop the Johnson County ARC (now known as The Arc of Southeast Iowa) for people with intellectual disabilities and was instrumental in establishing the first pre-school for children with intellectual disabilities in the county.,media/images/Becker_Ruth_Salzmann_Other_Image_1.jpg,,,,,https://aspace.lib.uiowa.edu/repositories/4/resources/1757,"2620 Muscatine Ave., Iowa City, IA 52240","41.64967147,-91.49831839","Bowen, Jay",-91.49831839,41.64967147
"Becker, Ruth Salzmann",The Becker House,,Holocaust Survivor,This is the home of Ruth Salzmann Becker who was born in 1922 in Berlin Germany. ,"She was a holocaust survivor that fled from Germany in 1939 and made her way over to the United States in 1940. After getting married, she worked as a n RN for the College of Nursing at the University of Iowa.",media/images/Ruth_Becker_Salzmann_Other_Image_3.jpg,,,,,http://aspace.lib.uiowa.edu/repositories/4/resources/1757,"521 Park Road, Iowa City, IA 52246","41.6712848,-91.54618906","Gidel, Bryce and Marino, Grace",-91.54618906,41.6712848
"Bergmann, Gustav",English Philosophy Building,,Academic,"This is the workplace of Gustav Bergmann, an Austrian immigrant to the United States who went on to become a guest lecturer in the University of Iowa's Department of Psychology and later a professor of Psychology and Philosophy at the University from 1950 until his retirement in 1974.",,media/images/Gustav_Bergmann2.jpg,,,,,https://aspace.lib.uiowa.edu/repositories/3/resources/921,"251 W Iowa Ave, Iowa City, IA 52242","41.6612634,-91.5406112","DeCoste, Justin and Molidor, Jon",-91.5406112,41.6612634
"Bergmann, Gustav",Home,,Holocaust Survivor,"This is the home of Gustav Bergmann, who was born on May 4, 1906 in Vienna, Austria. A holocaust survivor, Bergmann was forced to emigrate from Austria to the United States in 1938 due to the rise of the Nazi party. He went on to become an esteemed professor of Philosophy and Psychology at the University of Iowa and married his wife, Leola, in 1943. Gustav Bergmann passed away in 1987 at the age of 80 following an illness.",,media/images/Gustav_Bergmann.jpg,,,,,https://aspace.lib.uiowa.edu/repositories/3/resources/921,"124 Grand Avenue Court, Iowa City, Iowa 52240","41.6580219,-91.5442211","DeCoste, Justin and Molidor, Jon",-91.5442211,41.6580219
"Brodbeck, May",English Philosophy Building,,Academic,"This is the former office of May Brodbeck, who served as the Vice President of Academic Affairs and Dean of the Faculties from 1974 to 1981.","May Brodbeck was a famous philosopher who got her masters and doctorate at the University of Iowa. She later returned to the University of Iowa and served as a Carver Professor of Philosophy and Provost, the first women in the Big Ten to hold that rank. She also served as the Vice President of Academic Affairs and the Dean of Faculties. Brodbeck created the council on the status of women and founded a womens studies program, one of the first in America. In her honor, The University of Iowa created the May Brodbeck chair in Liberal Arts and Sciences as well as the May Brodbeck Distinguished Achievement Award.",media/images/Brodbeck_May_Other_Image_3.jpg,,,,,http://aspace.lib.uiowa.edu/repositories/4/resources/2780,"English-Philosophy Building, 251 W Iowa Ave, Iowa City, IA 52242","41.6608084,-91.53990607","Van Arnum, Katherine and Zucker, Allie",-91.53990607,41.6608084
